SL,Budget Code,Budget Head,Responsible Persons, Budget Figure , Variance ,5-Jul-26,25-Aug
1,ADM-1,Cleaning Expenses (ক্লিনিং মেটেরিয়ালস ও স্যানিটেশন),Asif,"  760,000.00 ", Budget ,"  760,000.00 ","  460,000.00 "
,,,,, Expenditure ,"  300,000.00 ","  40,000.00 "
,,,,, Balance ,"  460,000.00 ","  420,000.00 "
2,ADM-2,Entertainment Expense (আপ্যায়ন),Sharia Afrin,"  700,000.00 ",,,
3,ADM-4,Utility-Electricity (ইউটিলিটি /বিদ্যুৎ),Sharia Afrin,"  4,505,000.00 ",,,
4,ADM-5,Utility-Water (ইউটিলিটি/পানি ও সুয়ারেজ),Sharia Afrin,"  748,000.00 ",,,
5,ADM-6,Utility-Internet (ইউটিলিটি/ইন্টারনেট/ফ্যাক্স/টেলেক্স),Sharia Afrin,"  660,000.00 ",,,
6,ADM-7,Utility-Phone & mobile (ইউটিলিটি-ফোন ও মোবাইল),Sharia Afrin,"  1,640,000.00 ",,,
7,ADM-8,Training expenses (প্রশিক্ষণ ব্যয়),FiroJ,"  500,000.00 ",,,
8,ADM-9,"Petrol, Fuel & Lubricant (পেট্রোল, ফুয়েল ও লুব্রিক্যান্ট)",Asif,"  800,000.00 ",,,
9,ADM-10,Gas Bill  (গ্যাস),Sharia Afrin,"  520,000.00 ",,,
10,ADM-11,Travelling & Conveyance (যাতায়াত ও ভ্রমণ ব্যয়),Asif,"  100,000.00 ",,,
11,ADM-12,Security Services (নিরাপত্তা সেবা),Asif,"  1,500,000.00 ",,,
12,ADM-13,Computer Goods  (কম্পিউটার সামগ্রী),Asif,"  900,000.00 ",,,
13,ADM-14,Printing & Stationery  (প্রিন্টিং এন্ড স্টেশনারী),Asif,"  5,430,000.00 ",,,
14,ADM-15,"Honorarium & Fee (সম্মানী ও ফি,)",Sharia Afrin,"  300,000.00 ",,,
15,ADM-16,Festivals & Events  (অনুষ্ঠান ও উৎসবাদি),Sharia Afrin,"  800,000.00 ",,,
16,ADM-17,Vehicle Maintenance  (মোটরযান রক্ষণাবেক্ষণ),Asif,"  500,000.00 ",,,
17,ADM-18,Publicity and advertising  (প্রচার ও বিজ্ঞাপন),FiroJ,"  200,000.00 ",,,
18,ADM-19,Audit Fee (নিরীক্ষা ব্যয়),FiroJ,"  400,000.00 ",,,
19,ADM-20,Office Equipments (অফিস সরঞ্জামাদি),Asif,"  1,600,000.00 ",,,
20,ADM-21,Repair & Maintenance (মেরামত ও রক্ষণাবেক্ষণ),Asif,"  1,100,000.00 ",,,
21,ADM-22,Donation(অনুদান),FiroJ,"  100,000.00 ",,,
22,ADM-23,IT Development & Charges (আইটি উন্নয়ন ও চার্জ) ,FiroJ,"  700,000.00 ",,,
23,ADM-24,Reports and Documentaries (রির্পোট ও ডকুমেনটারি),FiroJ,  -   ,,,
24,ADM-25,Overtime (ওভার টাইম),Asif,"  1,500,000.00 ",,,
25,ADM-26,Garden & Landscaping (বাগান ও ল্যান্ডস্কেপিং),Sharia Afrin,"  150,000.00 ",,,
26,ADM-27,Uniform & leverage  (ইউনিফর্ম এন্ড লিভারেজ),Asif,"  50,000.00 ",,,
27,ADM-28,Maintenance (Gandaria) (গেন্ডারিয়া জমির রক্ষণাবেক্ষণ),Asif,"  500,000.00 ",,,
28,ADM-29,Miscellanous (বিবিধ),Asif,"  150,000.00 ",,,
29,ADM-30,Recruitment  Expenses (জনবল নিয়োগ),Sharia Afrin,  -   ,,,
30,ADM-31,Land & Municipal Tax (ভূমি ও পৌর কর ইত্যাদি),FiroJ,"  500,000.00 ",,,
31,ADM-32,Medical Expenses (চিকিৎসা ব্যয়),FiroJ,"  600,000.00 ",,,
32,ADM-33,Consultant Fee (পরামর্শক ফি),FiroJ,"  100,000.00 ",,,
33,ADM-34,Office Rent (অফিস ভাড়া),Sharia Afrin,"  5,960,000.00 ",,,
34,ADM-35,Assets Purchases (সম্পদ ক্রয়) ,FiroJ,"  4,009,000.00 ",,,
35,ADM-36,Electric Goods Purchases (বৈদ্যুতিক সরঞ্চাম ক্রয়),Asif,"  1,800,000.00 ",,,
,,,,"  39,782,000.00 ",,,
